date,product,category,branch,units_sold,unit_price,revenue,net_revenue,stock_qty,reorder_level
2026-06-14,Gel Pen Pack,Stationery,Model Town Campus,5,78.63,393.15,369.561,124.0,23.0
2026-06-07,Energy Drink,Beverages,Gulberg Campus,5,159.73,798.65,758.7175,162.0,32.0
2026-06-30,Highlighter Set,Stationery,DHA Campus,3,235.44,706.3199999999999,656.8775999999999,97.0,41.0
2026-06-24,Chicken Patty,Snacks,Model Town Campus,9,61.1580487804878,550.4224390243902,517.3970926829268,165.0,35.0
2026-06-18,Earphones Basic,Electronics,Gulberg Campus,1,355.41,355.41,337.6395,164.0,51.0
2026-06-30,Chicken Patty,Snacks,Model Town Campus,7,57.29,401.03,376.96819999999997,165.0,35.0
2026-06-17,Energy Drink,Beverages,DHA Campus,7,152.71,1068.97,994.1420999999999,162.0,32.0
2026-06-23,Gel Pen Pack,Stationery,Gulberg Campus,8,80.41,643.28,611.116,124.0,23.0
2026-06-03,Energy Drink,Beverages,Gulberg Campus,10,143.0,1430.0,1358.5,162.0,32.0
2026-06-21,Gel Pen Pack,Stationery,Model Town Campus,1,84.85,84.85,79.75899999999999,124.0,23.0
2026-06-04,Usb Flash Drive 32Gb,Electronics,Model Town Campus,10,949.55,9495.5,8925.769999999999,,
2026-06-27,Notebook A4,Stationery,Model Town Campus,3,160.99,482.97,453.9918,43.0,34.0
2026-06-26,Highlighter Set,Stationery,DHA Campus,8,229.66,1837.28,1708.6704,97.0,41.0
2026-06-14,Energy Drink,Beverages,Gulberg Campus,4,151.54,606.16,575.852,162.0,32.0
2026-06-15,Chicken Patty,Snacks,Model Town Campus,6,64.41,386.46,363.27239999999995,165.0,35.0
2026-06-14,Cold Coffee,Beverages,Model Town Campus,5,121.21442857142857,606.0721428571428,569.7078142857142,174.0,53.0
2026-06-21,Cold Coffee,Beverages,Gulberg Campus,5,117.15,585.75,556.4625,174.0,53.0
2026-06-19,Cold Coffee,Beverages,Model Town Campus,10,122.8,1228.0,1154.32,174.0,53.0
2026-06-20,Usb Flash Drive 32Gb,Electronics,Gulberg Campus,6,897.75,5386.5,5117.175,,
2026-06-16,Chicken Patty,Snacks,DHA Campus,6,64.55,387.29999999999995,360.1889999999999,165.0,35.0
2026-06-13,Chicken Patty,Snacks,Model Town Campus,1,64.39,64.39,60.526599999999995,165.0,35.0
2026-06-28,Usb Flash Drive 32Gb,Electronics,Model Town Campus,5,925.57,4627.85,4350.179,,
2026-06-21,Energy Drink,Beverages,DHA Campus,11,154.08,1694.88,1576.2384,162.0,32.0
2026-06-29,Notebook A4,Stationery,Gulberg Campus,8,160.77,1286.16,1221.852,43.0,34.0
2026-06-06,Potato Chips,Snacks,DHA Campus,8,50.01,400.08,372.07439999999997,174.0,21.0
2026-06-29,Samosa,Snacks,Gulberg Campus,9,40.52132075471698,364.6918867924528,346.45729245283013,157.0,32.0
2026-06-25,Earphones Basic,Electronics,Model Town Campus,7,376.89,2638.23,2479.9362,164.0,51.0
2026-06-22,Samosa,Snacks,Model Town Campus,7,40.98,286.85999999999996,269.6483999999999,157.0,32.0
2026-06-18,Gel Pen Pack,Stationery,DHA Campus,3,77.92,233.76,217.39679999999998,124.0,23.0
2026-06-29,Mineral Water 500Ml,Beverages,DHA Campus,2,43.37,86.74,80.66819999999998,,
2026-06-26,Chicken Patty,Snacks,Gulberg Campus,1,60.13,60.13,57.1235,165.0,35.0
2026-06-04,Gel Pen Pack,Stationery,Gulberg Campus,9,81.04,729.36,692.8919999999999,124.0,23.0
2026-06-29,Cold Coffee,Beverages,DHA Campus,5,127.06,635.3,590.829,174.0,53.0
2026-06-16,Potato Chips,Snacks,Model Town Campus,7,52.41,366.87,344.8578,174.0,21.0
2026-06-10,Cold Coffee,Beverages,Gulberg Campus,1,121.21442857142857,121.21442857142857,115.15370714285713,174.0,53.0
2026-06-05,Notebook A4,Stationery,Model Town Campus,11,149.71,1646.8100000000002,1548.0014,43.0,34.0
2026-06-30,Cold Coffee,Beverages,Gulberg Campus,5,124.8,624.0,592.8,174.0,53.0
2026-06-15,Potato Chips,Snacks,Model Town Campus,7,53.12,371.84,349.52959999999996,174.0,21.0
2026-06-23,Highlighter Set,Stationery,DHA Campus,4,220.36,881.44,819.7392,97.0,41.0
2026-06-10,Chicken Patty,Snacks,DHA Campus,8,62.14,497.12,462.3216,165.0,35.0
2026-06-15,Cold Coffee,Beverages,Gulberg Campus,2,129.4,258.8,245.85999999999999,174.0,53.0
2026-06-27,Cold Coffee,Beverages,Gulberg Campus,9,120.8,1087.2,1032.84,174.0,53.0
2026-06-16,Highlighter Set,Stationery,Gulberg Campus,2,233.37,466.74,443.40299999999996,97.0,41.0
2026-06-15,Samosa,Snacks,Model Town Campus,2,40.87,81.74,76.83559999999999,157.0,32.0
2026-06-29,Potato Chips,Snacks,Model Town Campus,11,49.81,547.9100000000001,515.0354000000001,174.0,21.0
2026-06-11,Mineral Water 500Ml,Beverages,DHA Campus,1,46.59,46.59,43.3287,,
2026-06-17,Cold Coffee,Beverages,Gulberg Campus,8,116.81,934.48,887.756,174.0,53.0
2026-06-01,Mineral Water 500Ml,Beverages,Gulberg Campus,3,44.99,134.97,128.2215,,
2026-06-26,Energy Drink,Beverages,Gulberg Campus,8,144.44,1155.52,1097.744,162.0,32.0
2026-06-01,Usb Flash Drive 32Gb,Electronics,DHA Campus,3,922.3782692307692,2767.1348076923077,2573.435371153846,,
2026-06-06,Earphones Basic,Electronics,Model Town Campus,11,355.90979591836737,3915.007755102041,3680.1072897959184,164.0,51.0
2026-06-27,Mineral Water 500Ml,Beverages,Gulberg Campus,2,42.83,85.66,81.377,,
2026-06-12,Notebook A4,Stationery,DHA Campus,9,157.35,1416.1499999999999,1317.0194999999999,43.0,34.0
2026-06-29,Chicken Patty,Snacks,Model Town Campus,1,62.63,62.63,58.8722,165.0,35.0
2026-06-29,Cold Coffee,Beverages,Gulberg Campus,2,115.61,231.22,219.659,174.0,53.0
2026-06-19,Energy Drink,Beverages,DHA Campus,4,151.74,606.96,564.4728,162.0,32.0
2026-06-12,Chicken Patty,Snacks,Model Town Campus,3,60.04,180.12,169.31279999999998,165.0,35.0
2026-06-03,Highlighter Set,Stationery,Gulberg Campus,7,210.16,1471.12,1397.5639999999999,97.0,41.0
2026-06-11,Usb Flash Drive 32Gb,Electronics,DHA Campus,11,957.66,10534.26,9796.861799999999,,
2026-06-24,Samosa,Snacks,DHA Campus,8,40.63,325.04,302.2872,157.0,32.0
2026-06-10,Cold Coffee,Beverages,DHA Campus,9,124.74,1122.6599999999999,1044.0738,174.0,53.0
2026-06-14,Cold Coffee,Beverages,Model Town Campus,5,114.68,573.4000000000001,538.9960000000001,174.0,53.0
2026-06-03,Usb Flash Drive 32Gb,Electronics,Gulberg Campus,3,944.01,2832.0299999999997,2690.4284999999995,,
2026-06-30,Cold Coffee,Beverages,Model Town Campus,1,116.82,116.82,109.81079999999999,174.0,53.0
2026-06-11,Mineral Water 500Ml,Beverages,Model Town Campus,2,42.98,85.96,80.80239999999999,,
2026-06-17,Notebook A4,Stationery,DHA Campus,2,148.91,297.82,276.9726,43.0,34.0
