name,category,lat,lon,avg_rating,daily_footfall
Badshahi Mosque,Heritage,31.5881,74.3103,4.8,9500
Lahore Fort,Heritage,31.5882,74.315,4.7,7200
Wazir Khan Mosque,Heritage,31.5828,74.3323,4.6,4100
Shalimar Gardens,Heritage,31.5952,74.3811,4.5,3800
Minar-e-Pakistan,Heritage,31.5925,74.3095,4.6,6100
Lahore Museum,Museum,31.5686,74.3095,4.4,1800
Liberty Market,Shopping,31.5083,74.3436,4.2,8800
Anarkali Bazaar,Shopping,31.5686,74.3103,4.1,9900
Emporium Mall,Shopping,31.4802,74.3439,4.3,12500
Packages Mall,Shopping,31.4746,74.3625,4.4,10200
Gaddafi Stadium,Sports,31.5133,74.3391,4.5,2600
Jilani Park (Racecourse),Park,31.533,74.3436,4.3,5400
Model Town Park,Park,31.4833,74.3237,4.2,3100
Lahore Zoo,Recreation,31.559,74.3221,4.0,4700
Fortress Stadium,Shopping,31.5252,74.3716,4.1,5600
Mall of Lahore,Shopping,31.4703,74.4141,4.0,4300
Data Darbar,Heritage,31.5852,74.3184,4.7,11000
Lahore Canal (Jail Road),Park,31.5121,74.3379,4.3,3600
Punjab University (New Campus),Education,31.4998,74.2953,4.2,15000
Kim's Botanical Garden,Park,31.4645,74.2871,3.9,900
